mp;mpomsch;x;y;gebied;gebiednaam;meetpunttypering;opmerking;krw_type_dawaco;adres;adres_afst;adres_pc;adres_straat;bbg_2015;bodem_code;bodem_grof;bodem_omsch;c12;c50;gemeente;internet;krw_type;landgebruik;lat;leg_breedte;leg_cat;leg_diepte;leg_talud_l;leg_talud_r;lgn2018;lgn2018_agg;lgn2018_perc;lgn2020;lgn2020_agg;lgn2020_perc;lgn2023;lgn2023_agg;lgn2023_perc;long;mp_type;mp_vervallen;ovw_code;ovw_naam;ovw_type;plaatsnaam;problemen;wl_code;wl_naam;wl_type;na
EGB_21_EL_11;Sloten waterrijk EGB 2021 elektro-traject 11;102914;441615;SCHIEL;Schieland;9;;-;Tuinenpad 2 Nieuwerkerk aan den IJssel;26,0000;2911BN;Tuinenpad;;Mv41C;Klei;Kalkarme drechtvaaggronden zware klei, profielverloop 1;;;Zuidplas;;;grasland - agrarisch;51,96052187;5,81;overig;0,40;0,0;0,0;;;;loofbos;recreatie;32;gras in secundair bebouwd gebied;stedelijk;47;4,62938547;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_12;Sloten waterrijk EGB 2021 elektro-traject 12;102953;441862;SCHIEL;Schieland;9;;-;Kortlandstraat 34 Nieuwerkerk aan den IJssel;26,0000;2911BG;Kortlandstraat;;Mv41C;Klei;Kalkarme drechtvaaggronden zware klei, profielverloop 1;;;Zuidplas;;;grasland - agrarisch;51,96274545;3,90;overig;0,40;0,0;0,0;;;;loofbos;recreatie;60;bos in secundair bebouwd gebied;recreatie;58;4,62991540;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_13;Sloten waterrijk EGB 2021 elektro-traject 13;101617;440460;SCHIEL;Schieland;9;;-;'s-Gravenweg 32 Nieuwerkerk aan den IJssel;26,0000;2911CG;'s-Gravenweg;;hVb;Veen;Koopveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95001818;5,67;overig;0,40;0,0;0,0;;;;gras in primair bebouwd gebied;stedelijk;36;zoet water;stedelijk;28;4,61069616;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_14;Sloten waterrijk EGB 2021 elektro-traject 14;101800;439600;SCHIEL;Schieland;9;;-;Roerdal 15 Capelle aan den IJssel;26,0000;2904CZ;Roerdal;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94230643;16,44;primair;1,00;3,0;3,0;;;;loofbos;recreatie;34;bos in secundair bebouwd gebied;recreatie;36;4,61349101;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_15;Sloten waterrijk EGB 2021 elektro-traject 15;102659;440368;SCHIEL;Schieland;9;;-;'s-Gravenweg 39d Nieuwerkerk aan den IJssel;26,0000;2911CD;'s-Gravenweg;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94929042;18,92;primair;1,30;3,0;3,0;;;;zoet water;water;42;zoet water;water;49;4,62586577;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_16;Sloten waterrijk EGB 2021 elektro-traject 16;101900;439269;SCHIEL;Schieland;9;;-;Sauerdal 23 Capelle aan den IJssel;26,0000;2904DE;Sauerdal;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,93934110;34,22;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;58;gras in secundair bebouwd gebied;stedelijk;57;4,61499638;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_PU_05;Sloten waterrijk EGB 2021 pulsdraad-traject 05;103224;441251;SCHIEL;Schieland;9;;-;Klein Hitland 266 Nieuwerkerk aan den IJssel;26,0000;2911BR;Klein Hitland;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95727936;12,79;primair;1,00;3,0;3,0;;;;agrarisch gras;agrarisch gras;41;agrarisch gras;agrarisch gras;27;4,63395029;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_PU_14;Sloten waterrijk EGB 2021 pulsdraad-traject 14;101800;439600;SCHIEL;Schieland;9;;-;Roerdal 15 Capelle aan den IJssel;26,0000;2904CZ;Roerdal;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94230643;16,44;primair;1,00;3,0;3,0;;;;loofbos;recreatie;34;bos in secundair bebouwd gebied;recreatie;36;4,61349101;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_PU_15;Sloten waterrijk EGB 2021 pulsdraad-traject 15;102637;440341;SCHIEL;Schieland;9;;-;'s-Gravenweg 39d Nieuwerkerk aan den IJssel;26,0000;2911CD;'s-Gravenweg;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94904568;18,92;primair;1,30;3,0;3,0;;;;zoet water;water;38;zoet water;water;44;4,62554991;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_ZE_01A;Sloten waterrijk EGB 2021 zegen-traject 01A;101847;439261;SCHIEL;Schieland;9;;-;Sauerdal 13 Capelle aan den IJssel;26,0000;2904DE;Sauerdal;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,93926414;13,38;primair;1,30;1,5;1,5;;;;agrarisch gras;agrarisch gras;48;gras in secundair bebouwd gebied;stedelijk;47;4,61422693;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
